place,movie_title,rating,year,star_cast
1,The Shawshank Redemption,9.235857621446582,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,The Godfather,9.155772967990414,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,The Dark Knight,8.991957602034253,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,The Godfather Part II,8.983807982931284,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 Angry Men,8.953460266380482,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,Schindler's List,8.940410970601459,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,The Lord of the Rings: The Return of the King,8.932883500017175,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,8.846012842871843,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,The Lord of the Rings: The Fellowship of the Ring,8.811331213951693,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," Il buono, il brutto, il cattivo",8.78864169191155,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump,8.766477548450226,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,Fight Club,8.747579265283992,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,The Lord of the Rings: The Two Towers,8.737061438986713,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
14,Inception,8.732646195178154,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
15,The Empire Strikes Back,8.698234641925003,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,The Matrix,8.669195504437315,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,GoodFellas,8.653390781033332,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,One Flew Over the Cuckoo's Nest,8.637590296954498,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19,Se7en,8.604603716678758,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,It's a Wonderful Life,8.59755785304455,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
21,Shichinin no samurai,8.597557058391523,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
22,The Silence of the Lambs,8.58835493359089,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,Saving Private Ryan,8.579883942641338,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
24,Cidade de Deus,8.57930102183305,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
25,Interstellar,8.573200115871812,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
26,La vita è bella,8.568772455940163,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
27,The Green Mile,8.563837132886723,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
28,Star Wars,8.547426881232399,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
29,Terminator 2: Judgment Day,8.538298413996221,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30,Back to the Future,8.51795938531898,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31,Sen to Chihiro no kamikakushi,8.515884730399277,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32,The Pianist,8.507974011374145,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
33,Psycho,8.506231910295613,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
34,Gisaengchung,8.500367844007146,2019,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"
35,Léon,8.492065662736591,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
36,The Lion King,8.487703290167744,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
37,Gladiator,8.487362592306754,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
38,American History X,8.481143178859542,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39,The Departed,8.476304496289853,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
40,Whiplash,8.46950442218957,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
41,The Prestige,8.469309866394633,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
42,The Usual Suspects,8.46851444406346,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
43,Casablanca,8.460979228882628,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
44,Hotaru no haka,8.456718604262615,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
45,Seppuku,8.456417768896806,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
46,The Intouchables,8.453095943511316,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
47,Modern Times,8.446531859477108,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
48,Once Upon a Time in the West,8.439802613172683,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
49,Nuovo Cinema Paradiso,8.435836954214167,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
50,Rear Window,8.435141597523462,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
51,Alien,8.433155540089423,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
52,City Lights,8.431588756784679,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
53,Apocalypse Now,8.422582989408646,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
54,Memento,8.418673197880326,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
55,Django Unchained,8.409560775648707,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
56,Raiders of the Lost Ark,8.405670223777559,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
57,WALL·E,8.395572160753208,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
58,The Lives of Others,8.383494724203876,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
59,Sunset Blvd,8.378692248033206,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
60,Paths of Glory,8.37143211137493,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
61,The Shining,8.364711596766131,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
62,The Great Dictator,8.363567512085826,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
63,Avengers: Infinity War,8.36209459407732,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
64,Witness for the Prosecution,8.359357907997174,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
65,Aliens,8.34274108109399,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
66,Spider-Man: Into the Spider-Verse,8.339386009316407,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
67,American Beauty,8.3291567658411,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
68,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.326654529140106,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
69,The Dark Knight Rises,8.325991083575092,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
70,Oldeuboi,8.319873055034845,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae"
71,Inglourious Basterds,8.319335367386142,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
72,Amadeus,8.316309570211816,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
73,Coco,8.315224474349286,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
74,Toy Story,8.314064087538103,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen"
75,Braveheart,8.312537785352685,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
76,Joker,8.312181491666195,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
77,Das Boot,8.311441068284921,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
78,Avengers: Endgame,8.303499154203665,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
79,Mononoke-hime,8.303052873198899,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
80,Once Upon a Time in America,8.294323917637389,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
81,Good Will Hunting,8.293458686679992,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
82,Kimi no na wa,8.28367741501385,2016,"Makoto Shinkai (dir.), Ryunosuke Kamiki, Mone Kamishiraishi"
83,Singin' in the Rain,8.275229468237338,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
84,3 Idiots,8.274744625307697,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
85,Requiem for a Dream,8.273314426744001,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
86,Tengoku to jigoku,8.272547409478236,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
87,Toy Story 3,8.270151014801977,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
88,Capharnaüm,8.267730351514649,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
89,Star Wars: Episode VI - Return of the Jedi,8.26404073012161,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
90,2001: A Space Odyssey,8.261402552683977,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
91,Eternal Sunshine of the Spotless Mind,8.261216258613146,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
92,Idi i smotri,8.25969963602062,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
93,Reservoir Dogs,8.258165142610821,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
94,Jagten,8.257300342005395,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
95,Citizen Kane,8.249187957027505,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
96,Lawrence of Arabia,8.24892756648748,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness"
97,M - Eine Stadt sucht einen Mörder,8.248318393818971,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
98,Ikiru,8.245199103790405,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
99,North by Northwest,8.245127593736349,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
10, Vertigo,8.242363546964805,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
101,The Apartment,8.241649323733293,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
102,Le fabuleux destin d'Amélie Poulain,8.240449034750819,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
103,Double Indemnity,8.237888306924773,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
104,A Clockwork Orange,8.237517249586238,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
105,Full Metal Jacket,8.236590928127708,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
106,Scarface,8.234858426985129,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
107,Hamilton,8.230473918110404,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
108,Incendies,8.227079608527324,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
109,Heat,8.225973768065437,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro"
110,To Kill a Mockingbird,8.225435014400546,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna"
111,Up,8.224847022145708,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
112,The Sting,8.224454874362758,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford"
113,Jodaeiye Nader az Simin,8.221186816665158,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
114,Metropolis,8.220745174181722,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
115,Taxi Driver,8.218279388375842,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
116,LA Confidential,8.218122784154776,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
117,Die Hard,8.217470374968203,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
118,Indiana Jones and the Last Crusade,8.216596253555801,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
119,Snatch,8.216587457722733,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
120,Ladri di biciclette,8.215247205324012,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
121,Taare Zameen Par,8.212051621829197,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
122,Top Gun: Maverick,8.21123146426408,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
123,1917,8.211074461877319,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
124,Der Untergang,8.203055892264631,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
125,Dangal,8.199283834354095,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
126,Per qualche dollaro in più,8.198811018553414,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
127,Batman Begins,8.196900797975905,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
128,The Kid,8.19065276017723,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
129,Some Like It Hot,8.19007293358641,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
130,The Father,8.181982401211426,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
131,All About Eve,8.17992039763404,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
132,The Wolf of Wall Street,8.178472804385128,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
133,Green Book,8.177731702004815,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
134,Judgment at Nuremberg,8.171505824249444,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
135,Ran,8.164494464761102,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
136,Casino,8.163951468767603,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
137,The Truman Show,8.162116739881146,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris"
138,There Will Be Blood,8.160909273032157,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
139,Pan's Labyrinth,8.160038589483987,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
140,Unforgiven,8.158159846991401,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
141,The Sixth Sense,8.154844263493645,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
142,Shutter Island,8.154087108749506,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
143,A Beautiful Mind,8.150624950044614,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris"
